Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
EU,1,500,12352.6,24.7053,72.6265,0.860436,49.5328,1.53214,19638,0,0,276,77,52,42,21,32,25
EU,1,500,12599.4,25.1988,73.7058,0.870341,59.0989,1.59625,18864,0,0,278,83,63,35,19,22,22
EU,1,500,12495.4,24.9908,73.4084,0.876253,61.1486,1.57093,19076,0,0,279,80,54,29,28,30,21
EU,1,500,12424.3,24.8487,74.1429,0.869471,48.2127,1.54736,18554,0,0,277,76,61,34,25,27,27
EU,1,500,12554.6,25.1092,71.3672,0.853727,61.1799,1.55631,20542,0,0,286,69,52,44,21,28,23
EU,1,500,12202.8,24.4056,73.3364,0.867921,58.5051,1.50616,19129,0,0,273,72,59,31,23,42,24
EU,1,500,12317.2,24.6343,72.6984,0.863906,60.2604,1.51803,19593,0,0,280,63,68,36,23,30,26
EU,1,500,12104.7,24.2095,73.4602,0.860797,60.4929,1.46171,19037,0,0,276,59,57,42,24,42,28
EU,1,500,11896.1,23.7922,74.2272,0.863384,50.4188,1.4664,18485,0,0,265,67,67,35,27,39,31
EU,1,500,12438.9,24.8778,73.6459,0.869149,56.0665,1.54505,18908,0,0,286,63,59,30,28,34,29
EU,1,500,12846.6,25.6932,68.9988,0.84314,50.4727,1.5783,22244,0,0,293,72,56,32,20,27,32
EU,1,500,12328.2,24.6565,74.1464,0.858181,53.9691,1.53861,18552,0,0,279,67,64,36,23,31,30
EU,1,500,12362.2,24.7243,74.0859,0.868677,62.0702,1.53525,18590,0,0,277,72,67,29,27,28,33
EU,1,1000,25196.7,25.1967,56.2218,0.699979,189.936,1.29958,62809,0,0,564,153,111,69,35,68,3
EU,1,1000,25493.9,25.4939,53.7564,0.675094,181.96,1.27038,66367,0,0,584,130,100,74,40,72,5
EU,1,1000,25242.7,25.2427,55.603,0.697983,233.788,1.28251,63715,0,0,574,136,112,61,50,67,2
EU,1,1000,24422.2,24.4222,59.2972,0.722348,189.807,1.25279,58400,0,0,549,137,108,77,45,84,7
EU,1,1000,25065.7,25.0657,56.5712,0.697857,244.785,1.25952,62323,0,0,563,142,105,69,54,67,1
EU,1,1000,25063.2,25.0632,56.3135,0.693879,229.587,1.25616,62688,0,0,575,127,101,72,46,79,4
