Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,100,1459.83,14.5983,100,1,2.10551,1.96926,0,0,0,63,12,13,5,3,4,5
BR,1,100,1308.09,13.0809,100,1,2.27783,1.77583,0,0,0,57,10,11,10,1,11,6
BR,1,100,1300.02,13.0002,99.8382,0.999724,2.37128,1.76025,21,0,0,52,17,14,10,1,6,7
BR,1,100,1334.54,13.3454,100,1,2.90478,1.77554,0,0,0,54,16,9,8,5,8,1
BR,1,100,1418.96,14.1896,100,1,2.90848,1.90969,0,0,0,61,12,13,7,4,3,9
BR,1,100,1248.61,12.4861,100,1,2.93659,1.67611,0,0,0,51,11,18,8,6,6,3
BR,1,100,1303.26,13.0326,98.4026,0.989813,2.98169,1.72922,213,0,0,55,8,15,5,11,6,4
BR,1,100,1427.95,14.2795,100,1,2.99601,1.90993,0,0,0,62,11,13,7,1,6,2
BR,1,100,1255.93,12.5593,100,1,2.99421,1.69444,0,0,0,49,19,11,8,3,10,8
BR,1,100,1325.31,13.2531,100,1,2.30802,1.80291,0,0,0,54,17,11,10,4,4,10
BR,1,100,1279.79,12.7979,98.7118,0.992312,2.26284,1.71312,170,0,0,53,12,14,10,4,7,12
BR,1,100,1392.89,13.9289,98.4227,0.994776,2.20904,1.83138,213,0,0,59,13,7,9,5,7,15
BR,1,100,1451.12,14.5112,99.5177,0.997506,2.91915,1.95733,64,0,0,63,13,9,7,1,7,11
BR,1,100,1397.48,13.9748,100,1,2.62708,1.8799,0,0,0,60,12,12,7,5,4,17
BR,1,100,1329.38,13.2938,100,1,2.68096,1.80278,0,0,0,60,7,9,11,7,6,16
BR,1,100,1359.16,13.5916,98.7421,0.992312,2.88144,1.78161,170,0,0,57,10,13,9,4,7,18
BR,1,100,1269.4,12.694,100,1,2.93277,1.71878,0,0,0,53,12,12,6,7,10,14
BR,1,100,1267.84,12.6784,100,1,2.94214,1.70556,0,0,0,51,14,16,9,3,7,13
