Regiao,Cenario_Str,Nos,PDR_Percent_mean,PDR_Percent_std,EnergiaMedia_J_mean,EnergiaMedia_J_std,LatenciaMedia_s_mean,LatenciaMedia_s_std,JainIndex_mean,JainIndex_std,Enviados_mean,Enviados_std,Recebidos_mean,Recebidos_std,PerdasColisaoExt_mean,PerdasColisaoExt_std,PerdasSinalFracoExt_mean,PerdasSinalFracoExt_std,PerdasSaturacaoExt_mean,PerdasSaturacaoExt_std,Eficiencia_Pct_por_Joule_mean,Eficiencia_Pct_por_Joule_std,PDR_Percent_MargemErro95,PDR_Percent_TextoTCC,EnergiaMedia_J_MargemErro95,EnergiaMedia_J_TextoTCC,LatenciaMedia_s_MargemErro95,LatenciaMedia_s_TextoTCC,JainIndex_MargemErro95,JainIndex_TextoTCC,Enviados_MargemErro95,Enviados_TextoTCC,Recebidos_MargemErro95,Recebidos_TextoTCC,PerdasColisaoExt_MargemErro95,PerdasColisaoExt_TextoTCC,PerdasSinalFracoExt_MargemErro95,PerdasSinalFracoExt_TextoTCC,PerdasSaturacaoExt_MargemErro95,PerdasSaturacaoExt_TextoTCC,Eficiencia_Pct_por_Joule_MargemErro95,Eficiencia_Pct_por_Joule_TextoTCC
EU,ADR,100,95.05952424242425,1.5847412367698832,11.92414393939394,1.3216248254751126,1.4253224242424243,0.1456882398314613,0.9601010303030303,0.01075686894641295,8261.939393939394,570.9653524620574,7853.424242424242,556.0742997962947,408.5151515151515,135.94303062591175,0.0,0.0,0.0,0.0,6.643569057824144,0.6791177167605983,0.5407013579947403,95.06 ± 0.54,0.4509280892762691,11.92 ± 0.45,0.04970769188873774,1.43 ± 0.05,0.0036701598419638386,0.96 ± 0.00,194.808927969487,8261.94 ± 194.81,189.72821686566013,7853.42 ± 189.73,46.382702465149826,408.52 ± 46.38,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.23170967169327414,6.64 ± 0.23
EU,ADR,500,78.69605757575758,1.9458816136635706,12.936645454545454,0.6624019894911385,1.2991057575757574,0.06295335738814407,0.820955696969697,0.009893617410624026,42238.333333333336,1509.599049968788,33232.09090909091,1247.0231895306817,9006.242424242424,961.7387583922878,0.0,0.0,0.0,0.0,5.148936244946973,0.2929219679745796,0.6639196397447366,78.70 ± 0.66,0.226006395836776,12.94 ± 0.23,0.02147919486179209,1.30 ± 0.02,0.0033756251464172665,0.82 ± 0.00,515.0634295409693,42238.33 ± 515.06,425.474592561562,33232.09 ± 425.47,328.1377682572384,9006.24 ± 328.14,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.09994269234337182,5.15 ± 0.10
EU,ADR,1000,57.28998484848485,1.7125290943005183,15.970245454545454,0.4720836757734994,1.107691818181818,0.03610449119002939,0.6438492424242425,0.011040771964151512,94116.63636363637,1885.1974004428191,53910.30303030303,1663.6618211953503,40206.333333333336,2026.1600946535955,0.0,0.0,0.0,0.0,3.379233877814122,0.15936473445467297,0.5843015789638661,57.29 ± 0.58,0.16107127059945686,15.97 ± 0.16,0.01231857098383358,1.11 ± 0.01,0.003767025338783327,0.64 ± 0.00,643.2146591864075,94116.64 ± 643.21,567.6284462678808,53910.30 ± 567.63,691.3100317418147,40206.33 ± 691.31,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.05437400525510854,3.38 ± 0.05
EU,ADR,2000,18.783248484848485,0.48715495168453066,29.07779393939394,0.20639498985469873,0.6307273939393939,0.01548925654272059,0.26665051515151517,0.006490120194000703,262979.48484848486,958.4919183674735,49395.42424242424,1265.905802930825,213584.0606060606,1596.4656655287367,0.0,0.0,0.0,0.0,0.8495192473485553,0.026589405370569263,0.1662134724698505,18.78 ± 0.17,0.07042036182841575,29.08 ± 0.07,0.005284813604048383,0.63 ± 0.01,0.002214378424075067,0.27 ± 0.00,327.02997174770417,262979.48 ± 327.03,431.9171930764307,49395.42 ± 431.92,544.7016417032314,213584.06 ± 544.70,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.0090720978659225,0.85 ± 0.01
EU,ADR,5000,1.5358757575757576,0.1512353401166189,39.86665757575758,0.10857302850588328,0.3757049090909091,0.017564857482989357,0.021413833333333333,0.0021315318006756706,717499.3636363636,37.22635002740727,11019.878787878788,1084.920813860848,706479.4848484849,1096.9155084033378,0.0,0.0,0.0,0.0,0.05529462975806979,0.005555565959992286,0.05160031927012091,1.54 ± 0.05,0.037044271072538035,39.87 ± 0.04,0.005992992466955984,0.38 ± 0.01,0.0007272620365350311,0.02 ± 0.00,12.701340475012476,717499.36 ± 12.70,370.166525461911,11019.88 ± 370.17,374.25902174923897,706479.48 ± 374.26,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.001895515803652538,0.06 ± 0.00
EU,Estático,100,92.79542727272727,2.004965476054503,24.553533333333334,1.1825871462778825,1.7385560606060606,0.08669839632093093,0.9739812727272728,0.008109509927674141,14348.969696969696,5.393774469729296,13315.151515151516,286.009737728906,1033.8181818181818,287.84267127910505,0.0,0.0,0.0,0.0,5.437282858236473,0.32491828948238105,0.6840785930735886,92.80 ± 0.68,0.4034895168392878,24.55 ± 0.40,0.029580817069064878,1.74 ± 0.03,0.0027669015791515917,0.97 ± 0.00,1.8403138082305592,14348.97 ± 1.84,97.58429325972966,13315.15 ± 97.58,98.20967590057442,1033.82 ± 98.21,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.11085958785204642,5.44 ± 0.11
EU,Estático,500,73.23614848484848,1.716742920678793,24.771448484848484,0.6061138693147993,1.5367,0.04443962336699089,0.8628831818181819,0.012103873903255489,71747.51515151515,9.8524147170885,52545.121212121216,1231.7114555968394,19202.39393939394,1231.7885862485173,0.0,0.0,0.0,0.0,4.246678751026706,0.19077805788506372,0.5857393036801934,73.24 ± 0.59,0.20680132796061454,24.77 ± 0.21,0.015162453115868465,1.54 ± 0.02,0.004129747434241634,0.86 ± 0.00,3.3615671085302044,71747.52 ± 3.36,420.2503482879937,52545.12 ± 420.25,420.2766646651647,19202.39 ± 420.28,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.06509198636384816,4.25 ± 0.07
EU,Estático,1000,56.98997878787879,1.6000716844796319,24.931878787878787,0.3702379815382054,1.2761275757575756,0.025833117919434215,0.7072615454545454,0.01593906966013642,143498.57575757575,14.941616175614628,81779.78787878787,2295.749656397333,61718.78787878788,2296.398957574333,0.0,0.0,0.0,0.0,3.2819644515081383,0.13639842570997532,0.5459319872627866,56.99 ± 0.55,0.12632231354500187,24.93 ± 0.13,0.008814058482346794,1.28 ± 0.01,0.005438286333720213,0.71 ± 0.01,5.097962979279837,143498.58 ± 5.10,783.291888939623,81779.79 ± 783.29,783.5134254403499,61718.79 ± 783.51,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.046538079718334194,3.28 ± 0.05
EU,Estático,2000,38.26197272727273,0.8888809271609182,25.154757575757575,0.21262522197269879,0.9134755151515151,0.016297310800254,0.45809739393939397,0.010638640975646827,287001.69696969696,21.32850916098249,109812.45454545454,2549.2207031133703,177189.24242424243,2554.2756193085293,0.0,0.0,0.0,0.0,2.183150554704168,0.06381810940525114,0.30327924411884405,38.26 ± 0.30,0.07254606846661199,25.15 ± 0.07,0.005560515418479801,0.91 ± 0.01,0.0036298213798458823,0.46 ± 0.00,7.277121084355981,287001.70 ± 7.28,869.7742344429544,109812.45 ± 869.77,871.4989324490737,177189.24 ± 871.50,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.021774241509869167,2.18 ± 0.02
EU,Estático,5000,15.81021212121212,0.563679775425272,25.90801212121212,0.19523617709964697,0.6015432121212122,0.01000715110482743,0.18603160606060606,0.0064870835412542726,717499.3636363636,37.22635002740727,113438.24242424243,4046.336089834101,604061.1212121212,4034.2998986625785,0.0,0.0,0.0,0.0,0.8758912532811792,0.03577368999776949,0.19232314587070443,15.81 ± 0.19,0.06661306189182575,25.91 ± 0.07,0.003414361957960749,0.60 ± 0.00,0.0022133423418266495,0.19 ± 0.00,12.701340475012476,717499.36 ± 12.70,1380.5783353854379,113438.24 ± 1380.58,1376.4716807717223,604061.12 ± 1376.47,0.0,0.00 ± 0.00,0.0,0.00 ± 0.00,0.012205704195407112,0.88 ± 0.01
