Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,2,1000,14521.8,14.5218,88.5357,0.967645,45.6135,2.57331,11541,0,0,950,0,0,0,0,50,4
BR,2,1000,14668.2,14.6682,87.5687,0.963433,46.9393,2.59465,12544,0,0,962,0,0,0,0,38,6
BR,2,1000,14575.5,14.5755,88.2974,0.96805,45.2064,2.57454,11818,0,0,947,0,0,0,0,53,7
BR,2,1000,14631.6,14.6316,87.8121,0.965091,45.8251,2.58988,12288,0,0,962,0,0,0,0,38,9
BR,2,1000,14749.6,14.7496,87.4738,0.965426,48.3122,2.58351,12757,0,0,961,0,0,0,0,39,8
BR,2,1000,14642.4,14.6424,86.7917,0.959647,48.2625,2.5792,13376,0,0,955,0,0,0,0,45,10
BR,2,1000,14656,14.656,86.7566,0.957567,46.5098,2.58523,13397,0,0,959,0,0,0,0,41,11
BR,1,5000,67114.8,13.423,86.6711,0.933329,576.345,1.68306,88938,0,0,2788,699,570,363,221,359,30
BR,2,1000,14475.7,14.4757,88.8818,0.9685,47.5405,2.58339,11114,0,0,962,0,0,0,0,38,12
BR,2,1000,14678.8,14.6788,86.9949,0.961226,47.7666,2.58242,13184,0,0,958,0,0,0,0,42,13
BR,2,1000,14511.3,14.5113,88.1891,0.964871,40.9491,2.57063,11882,0,0,950,0,0,0,0,50,14
BR,1,5000,66676.3,13.3353,86.1956,0.930325,609.397,1.66351,92032,0,0,2754,734,541,366,259,346,29
BR,2,1000,14692,14.692,87.132,0.962018,40.7135,2.58314,13056,0,0,960,0,0,0,0,40,15
BR,2,1000,14619.3,14.6193,87.9376,0.964696,40.3636,2.57742,12202,0,0,954,0,0,0,0,46,17
BR,1,5000,67001.5,13.4003,85.4352,0.923649,554.65,1.66934,97002,0,0,2790,690,567,368,225,360,33
BR,2,1000,14587.2,14.5872,87.6378,0.961584,49.53,2.58666,12437,0,0,962,0,0,0,0,38,16
BR,2,1000,14642.8,14.6428,86.9464,0.959438,49.832,2.5829,13205,0,0,953,0,0,0,0,47,18
BR,2,1000,14707.4,14.7074,86.6667,0.962315,42.5982,2.57816,13568,0,0,954,0,0,0,0,46,19
BR,2,1000,14660.5,14.6605,87.2,0.960999,37.9309,2.58009,12970,0,0,953,0,0,0,0,47,20
BR,2,1000,14602.6,14.6026,86.7557,0.961601,49.2836,2.58869,13333,0,0,958,0,0,0,0,42,21
BR,2,1000,14699.7,14.6997,86.6399,0.959313,38.9877,2.59554,13504,0,0,968,0,0,0,0,32,22
BR,1,5000,67315.4,13.4631,85.7243,0.927129,601.96,1.6827,95232,0,0,2788,709,584,358,209,352,32
BR,2,1000,14643.7,14.6437,87.165,0.959287,34.54,2.56103,13077,0,0,938,0,0,0,0,62,24
BR,2,1000,14624.7,14.6247,87.1077,0.960591,32.4821,2.59373,12970,0,0,969,0,0,0,0,31,25
BR,2,1000,14520.5,14.5205,87.8975,0.965298,45.6037,2.5926,12096,0,0,967,0,0,0,0,33,23
BR,1,5000,67222.5,13.4445,85.1726,0.924499,620.046,1.67089,98944,0,0,2790,712,566,339,225,368,31
BR,2,1000,14498.2,14.4982,88.2554,0.962989,42.701,2.5891,11733,0,0,960,0,0,0,0,40,26
BR,2,1000,14519.1,14.5191,88.3429,0.968415,46.879,2.58204,11690,0,0,959,0,0,0,0,41,27
BR,2,1000,14536.4,14.5364,87.8634,0.962541,35.9184,2.57826,12202,0,0,954,0,0,0,0,46,28
BR,2,1000,14535.1,14.5351,87.3991,0.960579,37.3802,2.58278,12650,0,0,959,0,0,0,0,41,29
BR,2,1000,14586.7,14.5867,87.8981,0.964056,32.8706,2.59159,12160,0,0,966,0,0,0,0,34,32
BR,2,1000,14621.9,14.6219,87.4921,0.964006,43.8088,2.57359,12672,0,0,951,0,0,0,0,49,31
BR,2,1000,14648.1,14.6481,86.6005,0.957078,46.6027,2.58573,13546,0,0,960,0,0,0,0,40,30
BR,2,1000,14636.3,14.6363,86.9666,0.961326,45.2531,2.58526,13162,0,0,959,0,0,0,0,41,33
BR,2,2000,31607.2,15.8036,78.8658,0.925852,103.136,2.57701,46272,0,0,1897,0,0,0,0,103,1
BR,2,2000,31517.4,15.7587,79.4395,0.928712,124.049,2.59806,44608,0,0,1931,0,0,0,0,69,2
BR,2,2000,31767.4,15.8837,78.6892,0.925375,102.812,2.57778,46890,0,0,1904,0,0,0,0,96,7
BR,2,2000,31783,15.8915,79.0998,0.9287,104.134,2.58903,45866,0,0,1922,0,0,0,0,78,8
BR,2,2000,31757.2,15.8786,77.9984,0.921173,113.784,2.58931,48213,0,0,1920,0,0,0,0,80,6
BR,2,2000,31534.4,15.7672,79.3181,0.93065,123.531,2.57903,45162,0,0,1907,0,0,0,0,93,4
BR,2,2000,31445.7,15.7229,79.9843,0.93186,129.579,2.58629,43477,0,0,1914,0,0,0,0,86,3
BR,2,2000,31687.1,15.8435,78.7899,0.926156,125.377,2.58535,46442,0,0,1910,0,0,0,0,90,5
BR,2,2000,31727.9,15.864,77.8732,0.920748,121.816,2.59481,48384,0,0,1926,0,0,0,0,74,9
BR,2,2000,31711.8,15.8559,78.0419,0.91785,97.6261,2.58616,48085,0,0,1918,0,0,0,0,82,10
BR,2,2000,31745.3,15.8726,77.7572,0.921112,95.0002,2.58607,48789,0,0,1918,0,0,0,0,82,15
BR,2,2000,31751,15.8755,77.1512,0.914779,103.036,2.58383,50133,0,0,1917,0,0,0,0,83,16
BR,2,2000,31723.6,15.8618,79.165,0.928403,122.966,2.58439,45674,0,0,1910,0,0,0,0,90,11
BR,2,2000,31740.3,15.8702,78.8315,0.926312,121.478,2.58882,46378,0,0,1920,0,0,0,0,80,12
BR,2,2000,31556.6,15.7783,78.596,0.925252,122.415,2.5968,46506,0,0,1930,0,0,0,0,70,13
BR,2,2000,31625,15.8125,78.8899,0.927468,112.754,2.58317,46165,0,0,1906,0,0,0,0,94,17
BR,2,2000,31454.3,15.7271,78.9215,0.926651,131.768,2.58661,45781,0,0,1915,0,0,0,0,85,14
BR,2,2000,31766.8,15.8834,78.7321,0.927971,128.551,2.59249,46592,0,0,1924,0,0,0,0,76,18
BR,2,2000,31625.9,15.8129,78.7973,0.925157,121.065,2.58557,46336,0,0,1910,0,0,0,0,90,19
BR,2,2000,31802.2,15.9011,77.7368,0.920077,96.8067,2.58459,48938,0,0,1914,0,0,0,0,86,22
BR,2,2000,31713.3,15.8566,78.2981,0.923726,124.041,2.5854,47552,0,0,1910,0,0,0,0,90,20
BR,2,2000,31738.7,15.8694,78.059,0.922084,96.8228,2.58746,48085,0,0,1913,0,0,0,0,87,26
BR,2,2000,31718.9,15.8594,78.4493,0.921899,107.74,2.57905,47317,0,0,1902,0,0,0,0,98,24
BR,2,2000,31899.4,15.9497,77.8586,0.918843,115.707,2.59159,48704,0,0,1918,0,0,0,0,82,23
BR,2,2000,31697.2,15.8486,78.3033,0.921704,123.942,2.5894,47466,0,0,1917,0,0,0,0,83,21
BR,2,2000,31702.7,15.8514,79.1402,0.927395,127.877,2.59597,45546,0,0,1928,0,0,0,0,72,25
BR,2,2000,31334.7,15.6673,80.0985,0.932582,124.777,2.58438,43114,0,0,1911,0,0,0,0,89,27
BR,2,2000,31700.3,15.8502,78.2604,0.921739,127.937,2.58536,47616,0,0,1910,0,0,0,0,90,28
BR,2,2000,31618,15.809,79.4581,0.932405,92.6419,2.5905,44800,0,0,1922,0,0,0,0,78,30
BR,2,2000,31600.1,15.8,79.1769,0.929208,110.466,2.59526,45333,0,0,1930,0,0,0,0,70,29
BR,2,2000,31725,15.8625,78.7932,0.922317,105.309,2.5854,46485,0,0,1913,0,0,0,0,87,32
BR,2,2000,31773.2,15.8866,78.4678,0.923995,104.253,2.59175,47189,0,0,1914,0,0,0,0,86,33
BR,2,2000,31757.6,15.8788,78.3272,0.924981,118.414,2.58365,47594,0,0,1905,0,0,0,0,95,31
BR,2,5000,87874.6,17.5749,60.4564,0.817887,597.131,2.58319,240298,0,0,4778,0,0,0,0,222,1
BR,2,5000,87928.4,17.5857,60.5179,0.815367,518.238,2.58889,239722,0,0,4811,0,0,0,0,189,5
BR,2,5000,88125.9,17.6252,60.1009,0.816337,510.069,2.58856,242858,0,0,4809,0,0,0,0,191,9
BR,2,5000,87904.1,17.5808,60.342,0.820099,651.914,2.59486,240469,0,0,4821,0,0,0,0,179,2
BR,2,5000,87865.1,17.573,60.4115,0.815572,676.94,2.59009,240149,0,0,4808,0,0,0,0,192,3
BR,2,5000,87978.2,17.5956,60.4157,0.819853,667.985,2.58929,240512,0,0,4807,0,0,0,0,193,4
BR,2,5000,88075.1,17.615,60.1994,0.813826,640.238,2.59017,241877,0,0,4825,0,0,0,0,175,8
BR,2,5000,88151.1,17.6302,60.7496,0.818546,645.309,2.59045,238826,0,0,4815,0,0,0,0,185,7
BR,2,5000,88231.2,17.6462,60.1352,0.814127,670.98,2.59226,242752,0,0,4825,0,0,0,0,175,6
BR,2,5000,88007.5,17.6015,60.5935,0.816095,462.743,2.59086,239381,0,0,4830,0,0,0,0,170,16
BR,2,5000,88204.9,17.641,60.4082,0.817296,548.096,2.60183,240405,0,0,4855,0,0,0,0,145,13
BR,2,5000,88266.9,17.6534,60.0343,0.814894,509.498,2.58698,243733,0,0,4817,0,0,0,0,183,14
BR,2,5000,88299.5,17.6599,59.5207,0.811341,660.91,2.58895,246848,0,0,4806,0,0,0,0,194,11
BR,2,5000,87984,17.5968,60.439,0.815905,680.459,2.5893,240320,0,0,4814,0,0,0,0,186,10
BR,2,5000,88095.4,17.6191,60.0463,0.81592,676.762,2.58865,243114,0,0,4805,0,0,0,0,195,12
BR,2,5000,87976.3,17.5953,61.0358,0.822859,656.169,2.58842,236736,0,0,4804,0,0,0,0,196,17
BR,2,5000,87849.7,17.5699,60.3247,0.81602,679.76,2.58597,240853,0,0,4803,0,0,0,0,197,15
BR,2,5000,87946.8,17.5894,59.9437,0.810912,690.184,2.59286,242986,0,0,4832,0,0,0,0,168,18
BR,2,5000,87966.2,17.5932,60.6833,0.819664,607.711,2.58875,238869,0,0,4808,0,0,0,0,192,20
BR,2,5000,88153.9,17.6308,60.2411,0.815857,563.341,2.58939,242048,0,0,4802,0,0,0,0,198,23
BR,2,5000,87846.8,17.5694,61.1514,0.823591,640.11,2.59274,235520,0,0,4814,0,0,0,0,186,19
BR,2,5000,87941.8,17.5884,60.7186,0.816855,562.08,2.58731,238613,0,0,4804,0,0,0,0,196,24
BR,2,5000,88025.7,17.6051,60.694,0.816989,648.618,2.59238,238762,0,0,4813,0,0,0,0,187,21
