Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,Enviados,Recebidos,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,500,7022.26,14.0445,98.5261,0.993075,13.3349,1.87999,66581,65600,981,0,0,300,64,54,31,22,29,17
BR,1,500,6768.5,13.537,98.2017,0.991757,18.0054,1.80782,66432,65237,1194,0,0,284,69,59,35,22,31,18
BR,1,500,6611.64,13.2233,98.8232,0.995788,18.7471,1.75166,67072,66282,789,0,0,273,65,67,34,23,38,19
BR,1,500,6717.34,13.4347,99.3588,0.99771,19.6481,1.80013,66538,66112,426,0,0,284,65,54,31,32,34,20
BR,1,500,6761.27,13.5225,99.2621,0.997295,14.4475,1.81288,66496,66005,490,0,0,279,80,54,29,28,30,21
BR,1,500,6849.12,13.6982,98.2462,0.992338,16.0602,1.81759,66901,65728,1173,0,0,278,83,63,35,19,22,22
BR,1,500,6799.58,13.5992,98.2332,0.992146,17.9213,1.8212,66410,65237,1173,0,0,286,69,52,44,21,28,23
BR,1,500,6623.43,13.2469,98.2069,0.992019,18.0636,1.76538,66624,65429,1194,0,0,273,72,59,31,23,42,24
BR,1,500,6688.67,13.3773,98.3601,0.992277,18.889,1.79482,66346,65258,1088,0,0,276,77,52,42,21,32,25
BR,1,500,6698.88,13.3978,97.6715,0.987954,14.4892,1.77348,66880,65322,1557,0,0,280,63,68,36,23,30,26
BR,1,500,6737.46,13.4749,98.7512,0.995515,19.4502,1.79915,66624,65792,832,0,0,277,76,61,34,25,27,27
BR,1,500,6527.01,13.054,98.3954,0.994436,20.284,1.73997,66474,65408,1066,0,0,276,59,57,42,24,42,28
BR,1,500,6731.65,13.4633,98.2969,0.992594,14.8168,1.80169,66389,65258,1130,0,0,286,63,59,30,28,34,29
BR,1,500,6679.53,13.3591,98.4249,0.994156,19.642,1.78788,66368,65322,1045,0,0,279,67,64,36,23,31,30
BR,1,500,6483.5,12.967,98.6859,0.993672,15.1313,1.72824,66560,65685,874,0,0,265,67,67,35,27,39,31
BR,1,500,6932.84,13.8657,98.1982,0.991627,17.0294,1.85863,66304,65109,1194,0,0,293,72,56,32,20,27,32
BR,1,500,6716.21,13.4324,99.0385,0.996163,18.9563,1.79875,66560,65920,640,0,0,277,72,67,29,27,28,33
BR,1,1000,13463.7,13.4637,96.3765,0.98463,45.749,1.78068,133056,128234,4821,0,0,563,142,105,69,54,67,1
BR,1,1000,13621.1,13.6211,97.1497,0.989118,36.2105,1.80567,133226,129429,3797,0,0,574,136,112,61,50,67,2
BR,1,1000,13603.6,13.6036,95.9923,0.980652,44.2235,1.79702,133077,127744,5333,0,0,564,153,111,69,35,68,3
BR,1,1000,13541,13.541,97.3891,0.990218,44.6468,1.79687,133184,129706,3477,0,0,575,127,101,72,46,79,4
BR,1,1000,13756.6,13.7566,97.3937,0.989475,48.008,1.82527,133418,129941,3477,0,0,584,130,100,74,40,72,5
BR,1,1000,13370.4,13.3704,96.7379,0.984841,41.4357,1.77603,132757,128426,4330,0,0,561,139,108,62,55,75,6
