Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,2,5000,175275,35.055,1.35066,0.0299145,13.9601,2.63163,0,0,4914.53,21.3675,64.1026,0,0,0,1
BR,2,5000,176892,35.3785,2.16195,0.025641,12.2735,2.14431,0,0,4957.26,21.3675,0,0,0,21.3675,7
BR,2,5000,176736,35.3472,1.32132,0.0213675,14.943,2.63163,0,0,4957.26,21.3675,21.3675,0,0,0,4
BR,2,5000,176245,35.249,3.84638,0.0384615,13.8765,1.8453,0,0,4935.9,0,0,21.3675,0,42.735,5
BR,2,5000,177569,35.5138,1.28064,0.0128205,12.7927,1.90109,0,0,4978.63,0,0,21.3675,0,0,9
BR,2,5000,176057,35.2114,2.01508,0.0294097,15.0126,2.12943,0,0,4935.9,0,42.735,0,21.3675,0,6
BR,2,5000,177599,35.5198,3.01734,0.034188,15.3588,2.63163,0,0,4978.63,21.3675,0,0,0,0,8
BR,2,5000,176083,35.2166,0.888809,0.017094,12.389,1.48555,0,0,4935.9,42.735,0,0,21.3675,0,11
BR,2,5000,176878,35.3756,3.19773,0.0378555,15.6368,2.33778,0,0,4957.26,0,21.3675,21.3675,0,0,10
BR,2,5000,177537,35.5074,2.56166,0.025641,11.4267,2.26373,0,0,4978.63,0,0,21.3675,0,0,15
BR,2,5000,176193,35.2386,2.16182,0.025641,15.3729,1.66059,0,0,4935.9,0,21.3675,0,0,42.735,12
BR,2,5000,176760,35.3519,1.72862,0.0213675,10.8757,2.02205,0,0,4957.26,0,21.3675,0,0,21.3675,18
BR,2,5000,177515,35.503,2.56204,0.025641,15.2281,2.26636,0,0,4978.63,0,0,21.3675,0,0,13
BR,2,5000,176887,35.3774,0.442676,0.00854701,14.1837,0.493826,0,0,4957.26,21.3675,0,21.3675,0,0,17
BR,2,5000,176053,35.2106,2.60945,0.034188,15.481,2.22621,0,0,4935.9,42.735,0,0,0,21.3675,14
