Cenario,Nos,EnergiaTotal_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisao,PerdasSinalFraco,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
1,500,12278.6,24.5571,0.999192,0.01,58.5319,0.114897,0,0,279,67,64,36,23,31,30
1,500,12762.8,25.5256,0.399989,0.004,52.721,0.114897,0,0,293,72,56,32,20,27,32
1,500,12312.5,24.6249,0.400072,0.004,49.9301,0.114897,0,0,277,72,67,29,27,28,33
1,1000,24987.8,24.9878,0.500307,0.005,169.129,0.114897,0,0,574,136,112,61,50,67,2
1,1000,25159.8,25.1598,1.09953,0.011,164.652,0.114897,0,0,584,130,100,74,40,72,5
1,1000,24191.1,24.1911,0.599391,0.006,165.197,0.114897,0,0,549,137,108,77,45,84,7
1,1000,24728.1,24.7281,0.700319,0.007,210.906,0.114897,0,0,563,142,105,69,54,67,1
1,1000,24942.4,24.9424,0.599424,0.006,213.952,0.114897,0,0,564,153,111,69,35,68,3
1,1000,24804.2,24.8042,0.499669,0.005,211.262,0.114897,0,0,575,127,101,72,46,79,4
1,1000,24574.5,24.5745,0.400686,0.004,206.271,0.114897,0,0,561,139,108,62,55,75,6
1,1000,25028,25.028,0.299668,0.003,200.439,0.114897,0,0,568,152,99,77,45,59,9
1,1000,24429.1,24.4291,0.501063,0.005,215.278,0.114897,0,0,554,134,122,82,46,62,8
1,1000,24589.1,24.5891,0.601348,0.006,180.932,0.114897,0,0,553,152,109,71,42,73,10
1,1000,25020.9,25.0209,0.500359,0.005,179.876,0.114897,0,0,570,145,115,62,35,73,11
1,1000,24549.4,24.5494,0.701016,0.007,202.176,0.114897,0,0,552,152,111,66,51,68,12
1,1000,25327.2,25.3272,0.69893,0.007,203.356,0.114897,0,0,580,147,107,57,37,72,14
1,1000,23913.3,23.9133,0.599408,0.006,218.901,0.114897,0,0,535,148,101,86,57,73,13
1,1000,24442.6,24.4426,0.700977,0.007,180.929,0.114897,0,0,557,132,123,69,38,81,18
1,1000,24013.9,24.0139,0.20002,0.002,205.458,0.114897,0,0,535,148,122,75,49,71,15
1,1000,24825.6,24.8256,0.899695,0.009,197.308,0.114897,0,0,571,130,119,61,48,71,17
1,1000,25027.1,25.0271,0.600596,0.006,216.487,0.114897,0,0,576,137,104,71,44,68,16
1,1000,24446.2,24.4462,0.499017,0.005,160.129,0.114897,0,0,546,153,119,59,57,66,21
1,1000,24625,24.625,0.901717,0.009,221.755,0.114897,0,0,560,141,114,63,44,78,19
1,1000,24863.5,24.8635,0.300386,0.003,214.229,0.114897,0,0,571,139,102,61,56,71,20
1,1000,24237.4,24.2374,0.399264,0.004,169.818,0.114897,0,0,530,171,116,80,44,59,23
1,1000,24098.3,24.0983,0.702429,0.007,176.233,0.114897,0,0,538,154,111,65,47,85,24
1,1000,25072.9,25.0729,0.399356,0.004,207.617,0.114897,0,0,559,163,124,67,32,55,22
1,1000,24378.3,24.3783,0.500279,0.005,198.675,0.114897,0,0,546,146,127,68,49,64,26
1,1000,24618.2,24.6182,0.600688,0.006,206.829,0.114897,0,0,554,150,111,81,42,62,25
1,1000,24806.8,24.8068,0.398676,0.004,214.824,0.114897,0,0,568,135,115,71,43,68,27
1,1000,24801.5,24.8015,0.700295,0.007,176.021,0.114897,0,0,568,133,118,65,54,62,29
1,1000,24261.2,24.2612,0.899489,0.009,171.669,0.114897,0,0,552,128,127,73,50,70,31
1,1000,24190.4,24.1904,0.900367,0.009,205.57,0.114897,0,0,555,123,114,81,55,72,28
1,1000,24788.4,24.7884,0.69893,0.007,214.434,0.114897,0,0,563,139,127,68,38,65,30
1,1000,24959,24.959,0.301068,0.003,184.16,0.114897,0,0,569,140,124,54,50,63,33
1,1000,25026.9,25.0269,0.40005,0.004,232.208,0.114897,0,0,571,140,119,70,44,56,32
1,2000,49243.3,24.6217,0.650823,0.0065,709.812,0.114897,0,0,1122,280,212,145,88,153,4
1,2000,49757.9,24.8789,0.800033,0.008,712.865,0.114897,0,0,1138,277,222,134,85,144,5
1,2000,49389,24.6945,0.701659,0.007,811.183,0.114897,0,0,1118,294,221,138,75,154,3
1,2000,49076,24.538,0.750923,0.0075,914.096,0.114897,0,0,1124,269,208,138,101,160,1
1,2000,48370.7,24.1854,0.549495,0.0055,837.264,0.114897,0,0,1084,297,221,148,102,148,6
1,2000,48856.1,24.428,0.600315,0.006,885.762,0.114897,0,0,1112,277,206,163,84,158,7
1,2000,49430.6,24.7153,0.499343,0.005,1041.37,0.114897,0,0,1125,280,220,141,100,134,2
1,2000,49424.8,24.7124,0.700409,0.007,904.053,0.114897,0,0,1129,269,232,147,90,133,8
1,2000,50152.5,25.0762,0.364758,0.00388823,1049.43,0.114897,0,0,1148,288,197,146,90,131,9
1,2000,49277.4,24.6387,0.550823,0.0055,806.093,0.114897,0,0,1105,310,220,148,70,147,11
1,2000,49768.3,24.8842,0.550858,0.0055,833.159,0.114897,0,0,1127,302,211,139,85,136,10
1,2000,49384.3,24.6921,0.650077,0.0065,814.858,0.114897,0,0,1117,295,220,143,84,141,14
1,2000,49064.7,24.5323,0.499646,0.005,1005.18,0.114897,0,0,1110,290,217,135,109,139,12
1,2000,48812.9,24.4064,0.350157,0.0035,970.602,0.114897,0,0,1100,297,201,158,111,133,13
1,2000,48502.5,24.2513,0.45025,0.0045,858.568,0.114897,0,0,1082,305,232,146,93,142,15
1,2000,49330.1,24.665,0.548824,0.0055,843.999,0.114897,0,0,1126,274,226,130,93,151,17
1,2000,49289.4,24.6447,0.700285,0.007,969.663,0.114897,0,0,1119,284,214,153,95,135,16
1,2000,49594.6,24.7973,0.549791,0.0055,881.052,0.114897,0,0,1136,266,234,134,86,144,18
1,2000,50426.7,25.2133,0.450523,0.0045,862.28,0.114897,0,0,1159,288,194,123,93,143,20
1,2000,49280.8,24.6404,0.549826,0.0055,889.588,0.114897,0,0,1109,303,223,135,83,147,19
1,2000,49256.5,24.6283,0.350521,0.0035,810.974,0.114897,0,0,1112,291,236,135,96,130,21
1,2000,48879.5,24.4398,0.698962,0.007,820.755,0.114897,0,0,1091,303,248,134,84,140,22
1,2000,49275.2,24.6376,0.599645,0.006,861.865,0.114897,0,0,1119,285,218,142,105,131,25
1,2000,48668.9,24.3345,0.39967,0.004,1007.57,0.114897,0,0,1080,321,222,156,83,138,23
1,2000,49038.9,24.5194,0.7502,0.0075,899.594,0.114897,0,0,1106,289,239,132,89,145,26
1,2000,48961.1,24.4805,0.499634,0.005,1035.27,0.114897,0,0,1099,305,216,144,85,151,24
1,2000,49537.5,24.7688,0.450191,0.0045,913.654,0.114897,0,0,1122,291,229,124,92,142,27
1,2000,49329.3,24.6647,0.750968,0.0075,897.308,0.114897,0,0,1132,264,216,141,109,138,28
1,2000,49133.2,24.5666,0.750172,0.0075,877.764,0.114897,0,0,1114,275,237,149,96,129,30
1,2000,49227.4,24.6137,0.948711,0.0095,801.592,0.114897,0,0,1122,276,225,125,109,143,31
1,2000,49291,24.6455,0.498967,0.005,982.749,0.114897,0,0,1119,278,234,147,100,122,29
1,2000,49105.9,24.553,0.651172,0.0065,817.376,0.114897,0,0,1120,262,245,139,89,145,32
1,2000,49443.2,24.7216,0.600015,0.006,786.919,0.114897,0,0,1122,286,224,137,101,130,33
1,5000,122654,24.5308,0.740487,0.0074,5646.73,0.114897,0,0,2758,736,581,351,205,369,3
1,5000,122319,24.4638,0.539453,0.0054,6605.03,0.114897,0,0,2743,744,544,386,243,340,6
