Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR_64CH,1,500,151068,302.136,98.5503,0.99958,51.8856,1.81045,1040,0,0,279,80,54,29,28,30,21
BR_64CH,1,500,146619,293.238,98.4782,0.999481,60.8496,1.75435,1092,0,0,273,65,67,34,23,38,19
BR_64CH,1,500,151883,303.766,98.3706,0.999505,57.2212,1.81884,1169,0,0,286,69,52,44,21,28,23
BR_64CH,1,500,147291,294.582,98.1406,0.997471,47.264,1.76517,1334,0,0,273,72,59,31,23,42,24
BR_64CH,1,500,152350,304.699,98.4737,0.999567,60.8154,1.82516,1095,0,0,278,83,63,35,19,22,22
BR_64CH,1,500,149920,299.839,98.2689,0.99944,66.8922,1.79359,1242,0,0,284,65,54,31,32,34,20
BR_64CH,1,500,149423,298.847,98.3719,0.999484,65.0412,1.78872,1168,0,0,276,77,52,42,21,32,25
BR_64CH,1,500,150225,300.451,98.5047,0.999531,57.6088,1.79846,1073,0,0,277,76,61,34,25,27,27
BR_64CH,1,500,149261,298.522,98.3334,0.999467,67.0054,1.78502,1196,0,0,280,63,68,36,23,30,26
BR_64CH,1,500,145846,291.693,98.4971,0.999539,51.4059,1.74549,1078,0,0,276,59,57,42,24,42,28
BR_64CH,1,500,150694,301.387,98.4041,0.999518,54.6617,1.80377,1145,0,0,286,63,59,30,28,34,29
BR_64CH,1,500,149369,298.738,98.3305,0.999318,54.796,1.78665,1198,0,0,279,67,64,36,23,31,30
BR_64CH,1,500,149666,299.333,98.5238,0.999517,59.9349,1.79235,1059,0,0,277,72,67,29,27,28,33
BR_64CH,1,500,155346,310.693,97.9527,0.99936,61.9167,1.85761,1469,0,0,293,72,56,32,20,27,32
BR_64CH,1,500,143783,287.565,98.3799,0.999463,63.8299,1.72021,1162,0,0,265,67,67,35,27,39,31
BR_64CH,1,1000,301616,301.616,95.7183,0.988513,191.899,1.79035,6144,0,0,575,127,101,72,46,79,4
BR_64CH,1,1000,303926,303.926,95.6903,0.987616,235.275,1.80606,6185,0,0,574,136,112,61,50,67,2
BR_64CH,1,1000,303534,303.534,95.8194,0.988729,242.843,1.80841,5998,0,0,564,153,111,69,35,68,3
BR_64CH,1,1000,293894,293.894,96.1639,0.99058,204.643,1.74435,5504,0,0,549,137,108,77,45,84,7
BR_64CH,1,1000,304359,304.359,96.3782,0.994605,205.019,1.80987,5197,0,0,568,152,99,77,45,59,9
BR_64CH,1,1000,300425,300.425,96.0169,0.990743,250.525,1.78428,5716,0,0,563,142,105,69,54,67,1
BR_64CH,1,1000,298911,298.911,96.5241,0.994656,241.089,1.77594,4988,0,0,561,139,108,62,55,75,6
BR_64CH,1,1000,296865,296.865,96.7581,0.995788,239.497,1.76434,4652,0,0,554,134,122,82,46,62,8
BR_64CH,1,1000,305993,305.993,95.4939,0.987522,256.58,1.81819,6467,0,0,584,130,100,74,40,72,5
BR_64CH,1,1000,308052,308.052,95.8914,0.989811,189.514,1.83176,5896,0,0,580,147,107,57,37,72,14
BR_64CH,1,1000,298488,298.488,96.1911,0.989944,207.409,1.77649,5466,0,0,552,152,111,66,51,68,12
BR_64CH,1,1000,304560,304.56,96.2752,0.993724,186.983,1.81549,5346,0,0,576,137,104,71,44,68,16
BR_64CH,1,1000,298814,298.814,96.3229,0.991826,255.99,1.78175,5277,0,0,553,152,109,71,42,73,10
BR_64CH,1,1000,304370,304.37,96.4201,0.994716,246.968,1.81094,5137,0,0,570,145,115,62,35,73,11
BR_64CH,1,1000,290413,290.413,96.6238,0.993881,249.391,1.73018,4844,0,0,535,148,101,86,57,73,13
BR_64CH,1,1000,291879,291.879,96.4561,0.992659,256.257,1.73625,5085,0,0,535,148,122,75,49,71,15
BR_64CH,1,1000,301961,301.961,96.112,0.991678,251.85,1.79586,5579,0,0,571,130,119,61,48,71,17
BR_64CH,1,1000,297175,297.175,96.2735,0.990734,266.488,1.76771,5348,0,0,557,132,123,69,38,81,18
BR_64CH,1,1000,299411,299.411,95.6162,0.985765,193.586,1.78305,6291,0,0,560,141,114,63,44,78,19
BR_64CH,1,1000,302415,302.415,95.6796,0.989447,201.946,1.7946,6199,0,0,571,139,102,61,56,71,20
BR_64CH,1,1000,304883,304.883,96.5452,0.99572,198.887,1.81513,4957,0,0,559,163,124,67,32,55,22
BR_64CH,1,1000,296755,296.755,96.1744,0.989783,244.587,1.76585,5489,0,0,546,153,119,59,57,66,21
BR_64CH,1,1000,292993,292.993,96.8642,0.995866,228.993,1.74042,4500,0,0,538,154,111,65,47,85,24
BR_64CH,1,1000,294600,294.6,96.4317,0.990865,252.302,1.75189,5121,0,0,530,171,116,80,44,59,23
BR_64CH,1,1000,299363,299.363,96.2725,0.992706,260.247,1.77628,5349,0,0,554,150,111,81,42,62,25
BR_64CH,1,1000,296265,296.265,96.2855,0.991788,250.372,1.76599,5331,0,0,546,146,127,68,49,64,26
BR_64CH,1,1000,301691,301.691,96.0077,0.992556,244.117,1.79347,5728,0,0,568,135,115,71,43,68,27
